country,code,sex-ratio,births,natural,est,diff,missing-girls
Afghanistan,AFG,943.4,1385000,675610,672330,3280,1
China,CHN,841.81,16486000,8041951,7535012,506939,12
Hong Kong,HKG,937.21,88600,43220,42864,355,2
India,IND,925.93,27165000,13251220,13060096,191123,3
Japan,JPN,946.97,1077000,525366,523833,1533,1
South Korea,KOR,911.58,478000,233171,227945,5225,4
Malaysia,MYS,943.4,576000,280976,279612,1364,1
Papua New Guinea,PNG,925.93,207000,100976,99519,1456,3
Philippines,PHL,943.4,2344000,1143415,1137864,5551,1
Singapore,SGP,931.97,45000,21951,21708,244,2
Solomon Islands,SLB,917.43,17000,8293,8134,159,4
Thailand,THA,940.91,838000,408780,406244,2536,1
